service_time,arrival_time        ,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
6.04        ,0.0                 ,6.04              ,6.04               ,0.0                 ,11.04            ,5.0           ,0.0
11.04       ,2.379999999999999   ,8.66              ,11.04              ,2.379999999999999   ,16.02            ,7.36          ,0.0
17.51       ,0.0                 ,17.51             ,17.51              ,0.0                 ,22.51            ,5.0           ,1.490000000000002
28.24       ,0.0                 ,28.24             ,28.24              ,0.0                 ,33.13            ,4.89          ,5.729999999999997
37.53       ,0.0                 ,37.53             ,37.53              ,0.0                 ,41.75            ,4.22          ,4.399999999999999
51.28       ,0.0                 ,51.28             ,51.28              ,0.0                 ,55.38            ,4.1           ,9.530000000000001
58.61       ,0.0                 ,58.61             ,58.61              ,0.0                 ,63.06            ,4.45          ,3.229999999999997
69.5        ,0.0                 ,69.5              ,69.5               ,0.0                 ,74.35            ,4.85          ,6.439999999999998
79.5        ,0.0                 ,79.5              ,79.5               ,0.0                 ,84.2             ,4.7           ,5.150000000000006
92.16       ,0.0                 ,92.16             ,92.16              ,0.0                 ,96.81            ,4.65          ,7.959999999999994
96.81       ,0.28000000000000114 ,96.53             ,96.81              ,0.28000000000000114 ,101.47           ,4.94          ,0.0
111.47      ,0.0                 ,111.47            ,111.47             ,0.0                 ,116.42           ,4.95          ,10.0
118.46      ,0.0                 ,118.46            ,118.46             ,0.0                 ,123.36           ,4.9           ,2.039999999999992
135.3       ,0.0                 ,135.3             ,135.3              ,0.0                 ,140.26           ,4.96          ,11.940000000000012
146.14      ,0.0                 ,146.14            ,146.14             ,0.0                 ,151.14           ,5.0           ,5.8799999999999955
154.55      ,0.0                 ,154.55            ,154.55             ,0.0                 ,159.37           ,4.82          ,3.410000000000025
165.56      ,0.0                 ,165.56            ,165.56             ,0.0                 ,170.03           ,4.47          ,6.189999999999998
173.64      ,0.0                 ,173.64            ,173.64             ,0.0                 ,178.36           ,4.72          ,3.609999999999985
180.92      ,0.0                 ,180.92            ,180.92             ,0.0                 ,185.34           ,4.42          ,2.559999999999974
191.96      ,0.0                 ,191.96            ,191.96             ,0.0                 ,196.95           ,4.99          ,6.6200000000000045
203.09      ,0.0                 ,203.09            ,203.09             ,0.0                 ,207.88           ,4.79          ,6.140000000000015
221.63      ,0.0                 ,221.63            ,221.63             ,0.0                 ,225.7            ,4.07          ,13.75
235.1       ,0.0                 ,235.1             ,235.1              ,0.0                 ,239.0            ,3.9           ,9.400000000000006
250.83      ,0.0                 ,250.83            ,250.83             ,0.0                 ,255.7            ,4.87          ,11.830000000000013
265.99      ,0.0                 ,265.99            ,265.99             ,0.0                 ,269.95           ,3.96          ,10.29000000000002
274.59      ,0.0                 ,274.59            ,274.59             ,0.0                 ,279.16           ,4.57          ,4.639999999999986
284.33      ,0.0                 ,284.33            ,284.33             ,0.0                 ,288.73           ,4.4           ,5.169999999999959
295.66      ,0.0                 ,295.66            ,295.66             ,0.0                 ,299.52           ,3.86          ,6.930000000000007
304.58      ,0.0                 ,304.58            ,304.58             ,0.0                 ,309.29           ,4.71          ,5.060000000000002
310.36      ,0.0                 ,310.36            ,310.36             ,0.0                 ,315.36           ,5.0           ,1.0699999999999932
325.17      ,0.0                 ,325.17            ,325.17             ,0.0                 ,329.17           ,4.0           ,9.810000000000002
334.3       ,0.0                 ,334.3             ,334.3              ,0.0                 ,339.3            ,5.0           ,5.1299999999999955
344.29      ,0.0                 ,344.29            ,344.29             ,0.0                 ,349.28           ,4.99          ,4.990000000000009
349.28      ,0.9699999999999704  ,348.31            ,349.28             ,0.9699999999999704  ,353.29           ,4.98          ,0.0
366.17      ,0.0                 ,366.17            ,366.17             ,0.0                 ,370.31           ,4.14          ,12.879999999999995
375.23      ,0.0                 ,375.23            ,375.23             ,0.0                 ,380.21           ,4.98          ,4.920000000000016
386.83      ,0.0                 ,386.83            ,386.83             ,0.0                 ,391.7            ,4.87          ,6.6200000000000045
403.29      ,0.0                 ,403.29            ,403.29             ,0.0                 ,407.82           ,4.53          ,11.590000000000032
411.45      ,0.0                 ,411.45            ,411.45             ,0.0                 ,415.37           ,3.92          ,3.6299999999999955
425.99      ,0.0                 ,425.99            ,425.99             ,0.0                 ,430.08           ,4.09          ,10.620000000000005
439.69      ,0.0                 ,439.69            ,439.69             ,0.0                 ,444.56           ,4.87          ,9.610000000000014
447.96      ,0.0                 ,447.96            ,447.96             ,0.0                 ,452.84           ,4.88          ,3.3999999999999773
460.47      ,0.0                 ,460.47            ,460.47             ,0.0                 ,465.32           ,4.85          ,7.630000000000052
472.77      ,0.0                 ,472.77            ,472.77             ,0.0                 ,476.96           ,4.19          ,7.449999999999989
476.96      ,3.4799999999999613  ,473.48            ,476.96             ,3.4799999999999613  ,481.65           ,8.17          ,0.0
483.24      ,0.0                 ,483.24            ,483.24             ,0.0                 ,487.16           ,3.92          ,1.5900000000000318
491.36      ,0.0                 ,491.36            ,491.36             ,0.0                 ,496.35           ,4.99          ,4.199999999999989
503.87      ,0.0                 ,503.87            ,503.87             ,0.0                 ,508.44           ,4.57          ,7.519999999999982
