arrival_time        ,service_time,inter_arrival_time,time_service_begins,queue_wait_time     ,time_service_ends,time_in_system,server_idle_time
0.0                 ,2.51        ,2.51              ,2.51               ,0.0                 ,7.51             ,5.0           ,0.0
1.7299999999999995  ,7.51        ,5.78              ,7.51               ,1.7299999999999995  ,12.24            ,6.46          ,0.0
0.0                 ,15.74       ,15.74             ,15.74              ,0.0                 ,20.72            ,4.98          ,3.5
0.0                 ,26.62       ,26.62             ,26.62              ,0.0                 ,31.25            ,4.63          ,5.900000000000002
0.0                 ,38.62       ,38.62             ,38.62              ,0.0                 ,42.75            ,4.13          ,7.369999999999997
0.0                 ,54.14       ,54.14             ,54.14              ,0.0                 ,59.05            ,4.91          ,11.39
0.0                 ,66.8        ,66.8              ,66.8               ,0.0                 ,71.74            ,4.94          ,7.75
0.0                 ,80.33       ,80.33             ,80.33              ,0.0                 ,85.16            ,4.83          ,8.590000000000003
0.0                 ,95.02       ,95.02             ,95.02              ,0.0                 ,99.85            ,4.83          ,9.86
0.0                 ,109.74      ,109.74            ,109.74             ,0.0                 ,114.6            ,4.86          ,9.89
0.0                 ,115.93      ,115.93            ,115.93             ,0.0                 ,120.79           ,4.86          ,1.3300000000000125
1.970000000000013   ,120.79      ,118.82            ,120.79             ,1.970000000000013   ,125.77           ,6.95          ,0.0
0.0                 ,127.77      ,127.77            ,127.77             ,0.0                 ,131.73           ,3.96          ,2.0
0.0                 ,144.07      ,144.07            ,144.07             ,0.0                 ,149.02           ,4.95          ,12.340000000000003
0.0                 ,154.57      ,154.57            ,154.57             ,0.0                 ,159.08           ,4.51          ,5.549999999999983
0.0                 ,161.17      ,161.17            ,161.17             ,0.0                 ,165.17           ,4.0           ,2.089999999999975
0.0                 ,174.41      ,174.41            ,174.41             ,0.0                 ,178.41           ,4.0           ,9.240000000000009
0.0                 ,182.56      ,182.56            ,182.56             ,0.0                 ,187.56           ,5.0           ,4.150000000000006
0.0                 ,199.24      ,199.24            ,199.24             ,0.0                 ,203.18           ,3.94          ,11.680000000000007
0.0                 ,208.19      ,208.19            ,208.19             ,0.0                 ,213.18           ,4.99          ,5.009999999999991
0.0                 ,226.19      ,226.19            ,226.19             ,0.0                 ,230.56           ,4.37          ,13.009999999999991
0.0                 ,235.85      ,235.85            ,235.85             ,0.0                 ,240.8            ,4.95          ,5.289999999999992
3.200000000000017   ,240.8       ,237.6             ,240.8              ,3.200000000000017   ,244.73           ,7.13          ,0.0
0.0                 ,248.23      ,248.23            ,248.23             ,0.0                 ,252.09           ,3.86          ,3.5
0.0                 ,260.91      ,260.91            ,260.91             ,0.0                 ,265.48           ,4.57          ,8.820000000000022
0.0                 ,270.98      ,270.98            ,270.98             ,0.0                 ,275.54           ,4.56          ,5.5
0.0                 ,280.0       ,280.0             ,280.0              ,0.0                 ,284.92           ,4.92          ,4.4599999999999795
0.0                 ,291.12      ,291.12            ,291.12             ,0.0                 ,295.41           ,4.29          ,6.199999999999989
0.0                 ,302.41      ,302.41            ,302.41             ,0.0                 ,306.67           ,4.26          ,7.0
0.0                 ,308.67      ,308.67            ,308.67             ,0.0                 ,312.89           ,4.22          ,2.0
0.0                 ,315.53      ,315.53            ,315.53             ,0.0                 ,320.46           ,4.93          ,2.6399999999999864
0.0                 ,329.04      ,329.04            ,329.04             ,0.0                 ,333.84           ,4.8           ,8.580000000000041
0.0                 ,339.32      ,339.32            ,339.32             ,0.0                 ,344.28           ,4.96          ,5.480000000000018
2.819999999999993   ,344.28      ,341.46            ,344.28             ,2.819999999999993   ,348.99           ,7.53          ,0.0
0.0                 ,351.16      ,351.16            ,351.16             ,0.0                 ,355.24           ,4.08          ,2.170000000000016
0.0                 ,366.43      ,366.43            ,366.43             ,0.0                 ,371.33           ,4.9           ,11.189999999999998
2.5                 ,371.33      ,368.83            ,371.33             ,2.5                 ,376.31           ,7.48          ,0.0
0.0                 ,381.17      ,381.17            ,381.17             ,0.0                 ,385.64           ,4.47          ,4.860000000000014
0.0                 ,395.76      ,395.76            ,395.76             ,0.0                 ,400.73           ,4.97          ,10.120000000000005
0.0                 ,409.62      ,409.62            ,409.62             ,0.0                 ,413.9            ,4.28          ,8.889999999999986
0.0                 ,428.05      ,428.05            ,428.05             ,0.0                 ,432.09           ,4.04          ,14.150000000000034
0.0                 ,444.41      ,444.41            ,444.41             ,0.0                 ,449.11           ,4.7           ,12.32000000000005
0.0                 ,457.42      ,457.42            ,457.42             ,0.0                 ,462.08           ,4.66          ,8.310000000000002
0.0                 ,467.81      ,467.81            ,467.81             ,0.0                 ,472.2            ,4.39          ,5.730000000000018
0.0                 ,482.92      ,482.92            ,482.92             ,0.0                 ,487.02           ,4.1           ,10.720000000000027
0.0                 ,494.65      ,494.65            ,494.65             ,0.0                 ,499.22           ,4.57          ,7.6299999999999955
0.0                 ,505.0       ,505.0             ,505.0              ,0.0                 ,509.59           ,4.59          ,5.779999999999973
0.0                 ,510.84      ,510.84            ,510.84             ,0.0                 ,515.53           ,4.69          ,1.25
0.0                 ,523.77      ,523.77            ,523.77             ,0.0                 ,528.64           ,4.87          ,8.240000000000009
0.0                 ,531.21      ,531.21            ,531.21             ,0.0                 ,535.88           ,4.67          ,2.57000000000005
0.0                 ,539.69      ,539.69            ,539.69             ,0.0                 ,544.42           ,4.73          ,3.810000000000059
0.0                 ,551.43      ,551.43            ,551.43             ,0.0                 ,556.09           ,4.66          ,7.009999999999991
0.0                 ,565.69      ,565.69            ,565.69             ,0.0                 ,570.69           ,5.0           ,9.600000000000023
0.0                 ,578.54      ,578.54            ,578.54             ,0.0                 ,582.53           ,3.99          ,7.849999999999909
0.0                 ,584.23      ,584.23            ,584.23             ,0.0                 ,588.34           ,4.11          ,1.7000000000000455
0.0                 ,593.02      ,593.02            ,593.02             ,0.0                 ,597.97           ,4.95          ,4.67999999999995
0.0                 ,602.12      ,602.12            ,602.12             ,0.0                 ,606.34           ,4.22          ,4.149999999999977
0.0                 ,608.83      ,608.83            ,608.83             ,0.0                 ,613.83           ,5.0           ,2.490000000000009
0.0                 ,618.5       ,618.5             ,618.5              ,0.0                 ,623.42           ,4.92          ,4.669999999999959
0.0                 ,625.77      ,625.77            ,625.77             ,0.0                 ,629.84           ,4.07          ,2.3500000000000227
0.0                 ,634.51      ,634.51            ,634.51             ,0.0                 ,639.28           ,4.77          ,4.669999999999959
0.0                 ,650.69      ,650.69            ,650.69             ,0.0                 ,655.69           ,5.0           ,11.410000000000082
0.0                 ,666.97      ,666.97            ,666.97             ,0.0                 ,671.13           ,4.16          ,11.279999999999973
0.0                 ,676.11      ,676.11            ,676.11             ,0.0                 ,680.95           ,4.84          ,4.980000000000018
0.0                 ,687.4       ,687.4             ,687.4              ,0.0                 ,692.28           ,4.88          ,6.449999999999932
0.0                 ,702.28      ,702.28            ,702.28             ,0.0                 ,706.29           ,4.01          ,10.0
0.0                 ,710.69      ,710.69            ,710.69             ,0.0                 ,715.49           ,4.8           ,4.400000000000091
0.0                 ,721.46      ,721.46            ,721.46             ,0.0                 ,726.24           ,4.78          ,5.970000000000027
0.0                 ,738.13      ,738.13            ,738.13             ,0.0                 ,743.13           ,5.0           ,11.889999999999986
0.0                 ,751.75      ,751.75            ,751.75             ,0.0                 ,755.88           ,4.13          ,8.620000000000005
0.0                 ,763.74      ,763.74            ,763.74             ,0.0                 ,768.1            ,4.36          ,7.860000000000014
0.0                 ,772.79      ,772.79            ,772.79             ,0.0                 ,777.24           ,4.45          ,4.689999999999941
0.0                 ,780.95      ,780.95            ,780.95             ,0.0                 ,785.18           ,4.23          ,3.7100000000000364
0.0                 ,792.95      ,792.95            ,792.95             ,0.0                 ,797.95           ,5.0           ,7.7700000000000955
0.0                 ,804.94      ,804.94            ,804.94             ,0.0                 ,809.87           ,4.93          ,6.990000000000009
0.0                 ,812.61      ,812.61            ,812.61             ,0.0                 ,817.23           ,4.62          ,2.740000000000009
0.0                 ,822.02      ,822.02            ,822.02             ,0.0                 ,826.48           ,4.46          ,4.789999999999964
0.0                 ,832.78      ,832.78            ,832.78             ,0.0                 ,837.78           ,5.0           ,6.2999999999999545
0.5199999999999818  ,837.78      ,837.26            ,837.78             ,0.5199999999999818  ,842.75           ,5.49          ,0.0
2.7000000000000455  ,842.75      ,840.05            ,842.75             ,2.7000000000000455  ,847.42           ,7.37          ,0.0
0.0                 ,851.65      ,851.65            ,851.65             ,0.0                 ,855.74           ,4.09          ,4.230000000000018
0.0                 ,868.22      ,868.22            ,868.22             ,0.0                 ,872.25           ,4.03          ,12.480000000000018
0.0                 ,875.6       ,875.6             ,875.6              ,0.0                 ,879.85           ,4.25          ,3.3500000000000227
0.0                 ,886.62      ,886.62            ,886.62             ,0.0                 ,890.93           ,4.31          ,6.769999999999982
0.029999999999972715,890.93      ,890.9             ,890.93             ,0.029999999999972715,895.15           ,4.25          ,0.0
0.0                 ,895.93      ,895.93            ,895.93             ,0.0                 ,899.97           ,4.04          ,0.7799999999999727
0.38999999999998636 ,899.97      ,899.58            ,899.97             ,0.38999999999998636 ,904.05           ,4.47          ,0.0
0.0                 ,914.08      ,914.08            ,914.08             ,0.0                 ,918.37           ,4.29          ,10.030000000000086
0.0                 ,922.77      ,922.77            ,922.77             ,0.0                 ,926.91           ,4.14          ,4.399999999999977
0.0                 ,938.39      ,938.39            ,938.39             ,0.0                 ,943.39           ,5.0           ,11.480000000000018
